ICAO_code,Airport_Name,Latitude,Longitude
KANB,Anniston Metropolitan,33.58,-85.85
KMSL,Muscle Shoals Regional,34.75,-87.6
KDHN,Dothan,31.23,-85.43
KBHM,Birmingham Intl,33.56,-86.75
KEET,Bessemer,33.16,-86.76
KHSV,Huntsville Intl,34.65,-86.78
KMOB,Mobile Regional,30.68,-88.25
KGZH,Monroe County,31.41,-87.05
KMGM,Dannelly Field,32.3,-86.4
KMXF,Maxwell AFB,32.38,-86.35
KTCL,Tuscaloosa Muni,33.21,-87.61
KGZH,Martin Field,31.41,-87.05
KMRI,Merrill Field,61.21,-149.85
KCZF,Mekoryuk,61.78,-166.03
KCZF,Toksook Bay,61.78,-166.03
KCZF,Newtok,61.78,-166.03
KKTN,Ketchikan Harbor,55.36,-131.71
KKTN,Ketchikan Intl,55.36,-131.71
KILI,Nondalton,59.75,-154.91
KILI,Kokhanok,59.75,-154.91
KILI,Iliamna,59.75,-154.91
KILI,Kulik Lake,59.75,-154.91
KQRC,Lake Brooks,58.68,-156.63
KQRC,Igiugig,58.68,-156.63
KBTT,Anaktuvuk Pass,66.91,-151.51
KSIT,Tenakee,57.05,-135.36
KORT,Tok,62.96,-141.93
KCDV,Merle K (Mudhole) Smith,60.5,-145.5
KGKN,Gulkana,62.15,-145.45
KVWS,Valdez,61.13,-146.35
KCZF,Cape Romanzof LRRS,61.78,-166.03
KCZF,Scammon Bay,61.78,-166.03
KCZF,Chevak,61.78,-166.03
KCZF,Alakanuk,61.78,-166.03
KCZF,Emmonak,61.78,-166.03
KCZF,Sheldons Point,61.78,-166.03
KBTT,Bettles,66.91,-151.51
KBTT,Coldfoot,66.91,-151.51
KBTT,Prospect Creek,66.91,-151.51
KTAL,Manley Hot Springs,65.16,-152.1
KTAL,Ralph M Calhoun Meml,65.16,-152.1
KTAL,Minchumina,65.16,-152.1
KFHU,Libby AFB - Sierra Vista Muni,31.56,-110.33
KFLG,Flagstaff Pulliam,35.13,-111.66
KGCN,Grand Canyon National Park,35.95,-112.15
KPGA,Page Muni,36.93,-111.45
KDVT,Phoenix - Deer Valley Muni,33.68,-112.08
KPHX,Williams Gateway,33.45,-111.98
KPHX,Phoenix Sky Harbor Intl,33.45,-111.98
KSDL,Scottsdale,33.61,-111.91
KEED,Lake Havasu City,34.76,-114.61
KEED,Laughlin - Bullhead International,34.76,-114.61
KIGM,Kingman,35.26,-113.95
K4BL,Kayenta,37.61,-109.48
KSJN,Show Low Muni,34.51,-109.38
KDMA,Davis - Monthan AFB,32.16,-110.88
KTUS,Tucson Intl,32.13,-110.95
KFLG,Sedona,35.13,-111.66
KPRC,Ernest A. Love Field,34.65,-112.41
KHRO,Boone County,36.26,-93.15
KJBR,Jonesboro Muni,35.83,-90.65
KHOT,Memorial Field,34.46,-93.1
KTXK,Texarkana Regional,33.45,-94
KLIT,Adams Field,34.75,-92.23
KFSM,Fort Smith Regional,35.33,-94.36
KELD,South Arkansas Regional At Goodwin,33.21,-92.81
KFYV,Springdale Muni,36,-94.16
KFYV,Drake Field,36,-94.16
KOAK,Metropolitan Oakland Intl,37.71,-122.21
KOVE,Chico Muni,39.5,-121.61
KCEC,Jack Mc Namara Field,41.78,-124.23
KFAT,Fresno Air Terminal,36.78,-119.71
KACV,Arcata,40.98,-124.1
KIPL,Imperial County,32.83,-115.58
KNJK,Naf El Centro,32.81,-115.68
KBIH,Bishop,37.36,-118.35
KBFL,Meadows Field,35.43,-119.05
KNID,Inyokern,35.68,-117.68
KBUR,Burbank - Glendale - Pasadena,34.2,-118.35
KHHR,Hawthorne Muni,33.91,-118.33
KLAX,Los Angeles Intl,33.93,-118.4
KLGB,Long Beach,33.83,-118.16
KSMO,Santa Monica Muni,34.01,-118.45
KVNY,Van Nuys,34.21,-118.48
KMCE,Merced Municipal,37.28,-120.51
KMRY,Monterey Peninsula,36.58,-121.85
KSNA,John Wayne Airport - Orange County,33.68,-117.86
KPSP,Palm Springs Regional,33.83,-116.5
KRIV,March AFB,33.88,-117.26
KMCC,Sacramento Mather,38.66,-121.4
KSAC,Sacramento Executive,38.5,-121.5
KSMF,Sacramento Metropolitan,38.7,-121.58
KEDW,Southern California International,34.9,-117.86
KONT,Ontario Intl,34.06,-117.65
KCRQ,Mc Clellan - Palomar,33.13,-117.28
KMYF,Montgomery Field,32.81,-117.13
KNKX,Miramar NAS,32.86,-117.13
KNZY,North Island NAS,32.7,-117.2
KSAN,San Diego Intl,32.73,-117.16
KSCK,Stockton Metropolitan,37.9,-121.23
KPRB,Paso Robles Muni,35.66,-120.63
KSBP,San Luis Obispo County,35.23,-120.63
KSFO,San Francisco Intl,37.61,-122.4
KSBA,Santa Barbara Muni,34.43,-119.85
KSMX,Santa Maria,34.91,-120.46
KVBG,Vandenberg AFB,34.75,-120.58
KSJC,San Jose International,37.36,-121.93
KRDD,Redding Muni,40.51,-122.31
KSUU,Travis AFB,38.26,-121.93
KMOD,Modesto City - County,37.63,-120.95
KHJO,Visalia Muni,36.31,-119.61
KNSI,San Nicolas Island Nolf,33.25,-119.45
KNTD,Point Mugu NAWS,34.11,-119.11
KOXR,Oxnard,34.2,-119.2
KMYV,Yuba County,39.1,-121.56
KALS,San Luis Valley Regional,37.43,-105.86
KAPA,Centennial,39.56,-104.85
KDEN,Denver Intl,39.83,-104.65
KASE,Eagle County Regional,39.21,-106.86
KCOS,City Of Colorado Springs Muni,38.81,-104.71
KASE,Gunnison County,39.21,-106.86
KDNR,Jeffco,39.76,-104.86
KDRO,Durango - La Plata County,37.15,-107.75
KDNR,Fort Collins - Loveland Muni,39.76,-104.86
KGJT,Walker Field,39.13,-108.53
KCEZ,Cortez - Montezuma County,37.3,-108.63
KMTJ,Montrose Regional,38.5,-107.9
KASE,Aspen - Pitkin Co,39.21,-106.86
KPUB,Pueblo Memorial,38.28,-104.5
KCAG,Yampa Valley,40.5,-107.53
KMTJ,Telluride Regional,38.5,-107.9
KAKO,Akron - Washington Co,40.16,-103.23
KBDR,Igor I Sikorsky Memorial,41.18,-73.15
KBDL,Bradley Intl,41.93,-72.68
KHFD,Hartford - Brainard,41.73,-72.65
KHVN,Tweed - New Haven,41.26,-72.88
KGON,Groton - New London,41.33,-72.05
KDOV,Dover AFB,39.13,-75.46
KILG,New Castle County,39.66,-75.6
KGNV,Gainesville Regional,29.7,-82.28
KPAM,Tyndall AFB,30.06,-85.58
KPFN,Panama City - Bay Co Intl,30.2,-85.68
KCOF,Patrick AFB,28.23,-80.6
KMLB,Melbourne International,28.1,-80.65
KTTS,NASA Shuttle Landing Facility,28.61,-80.71
KFLL,Fort Lauderdale - Hollywood Intl,26.06,-80.15
KFXE,Fort Lauderdale Executive,26.2,-80.16
KAPF,Naples Muni,26.15,-81.76
KJAX,Jacksonville Intl,30.5,-81.7
KNIP,Jacksonville NAS,30.23,-81.66
KNPA,Pensacola NAS,30.35,-87.31
KPNS,Pensacola Regional,30.48,-87.18
KMCF,Mac Dill AFB,27.85,-82.51
KTPA,Tampa Intl,27.96,-82.53
KLEE,Clay Island Airstrip,28.81,-81.8
KFMY,Page Field,26.58,-81.86
KRSW,Southwest Florida Intl,26.53,-81.75
KTLH,Tallahassee Regional,30.4,-84.35
KSRQ,Sarasota/Bradenton Intl,27.38,-82.55
KFPR,Witham Field,27.48,-80.36
KMIA,Miami Intl,25.81,-80.3
KOPF,Opa Locka,25.9,-80.28
KEYW,Key West Intl,24.55,-81.75
KMTH,Marathon,24.73,-81.05
KHRT,Hurlburt Field,30.41,-86.68
KVPS,Eglin AFB,30.48,-86.53
KMCO,Orlando Intl,28.43,-81.33
KORL,Executive,28.55,-81.33
KPBI,Palm Beach Intl,26.68,-80.1
KPIE,St Petersburg - Clearwater Intl,27.9,-82.68
KSPG,Albert Whitted,27.76,-82.61
KSFB,Orlando Sanford,28.78,-81.25
KDAB,Daytona Beach Intl,29.18,-81.06
KMCN,Middle Georgia Regional,32.68,-83.65
KSAV,Savannah International,32.11,-81.2
KSVN,Hunter AAF,32,-81.15
KLSF,Lawson AAF,32.33,-85
KAHN,Athens - Ben Epps,33.95,-83.33
KATL,The William B Hartsfield Atlanta Intl,33.63,-84.43
KMGE,Dobbins Air Reserve Base,33.91,-84.51
KPDK,Dekalb - Peachtree,33.86,-84.3
KABY,Southwest Georgia Regional,31.53,-84.18
KSSI,Glynco Jetport,31.15,-81.38
KWRB,Robins AFB,32.63,-83.6
KVLD,Valdosta Regional,30.78,-83.28
KCSG,Columbus Metropolitan,32.51,-84.95
KAGS,Bush Field,33.36,-81.96
KBOI,Boise Air Terminal,43.56,-116.21
KJER,Friedman Memorial,42.73,-114.45
KIDA,Fanning Field,43.51,-112.06
KMUO,Mountain Home AFB,43.05,-115.86
KSFF,Coeur D'alene Air Term,47.68,-117.31
K27U,Lemhi County,45.18,-113.9
KLWS,Lewiston - Nez Perce County,46.36,-117.01
KPIH,Pocatello Regional,42.91,-112.56
KPIH,American Falls,42.91,-112.56
KTWF,Twin Falls - Sun Valley Regional Josl,42.48,-114.48
KMYL,Mc Call,44.88,-116.1
KUIN,Quincy Muni,39.93,-91.2
KCMI,University Of Illinois - Willard,40.03,-88.28
KMTO,Coles County Memorial,39.48,-88.28
KMDW,Chicago Midway,41.78,-87.75
KORD,Chicago O'Hare Intl,41.98,-87.91
KPWK,Palwaukee Muni,42.11,-87.9
KDPA,Dupage,41.91,-88.25
KARR,Aurora Muni,41.76,-88.46
KMLI,Galesburg Muni,41.46,-90.51
KARR,Illinois Valley Regional,41.76,-88.46
KDPA,Lake In The Hills,41.91,-88.25
KDEC,Bloomington - Normal,39.83,-88.86
KDEC,Decatur,39.83,-88.86
KPIA,Greater Peoria Regional,40.66,-89.68
KMLI,Quad - City,41.46,-90.51
KBLV,Scott AFB,38.55,-89.85
KSPI,Capital,39.85,-89.68
KDPA,Lewis University,41.91,-88.25
KMDH,Williamson County Regional,37.76,-89.25
