FIPS,MODIS1214,Hay,Hay_ir,Alfalfa,Alfalfa_ir,Other_Grass,Other_Grass_ir,Barley,Barley_ir,BeansEdible,BeansEdible_ir,CornGrain,CornGrain_ir,CornSilage,CornSilage_ir,Cotton,Cotton_ir,Oats,Oats_ir,Peanuts,Peanuts_ir,Potatoes,Potatoes_ir,Rice,Rice_ir,Rye,Rye_ir,SorghumGrain,SorghumGrain_ir,SorghumSilage,SorghumSilage_ir,Soybeans,Soybeans_ir,Wheat_Spring,Wheat_Spring_ir,Wheat_Winter,Wheat_Winter_ir,Other,Other_ir,Canola,Canola_ir,Beans,Beans_ir
100100,1214,0.652,0.000,0.115,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.020,0.000,0.000,0.000,0.009,0.000,0.000,0.000,0.020,0.000,0,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.178,0.000,0.000,0.000,0.000,0.000
100101,1214,0.667,0.000,0.103,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.000,0.000,0.000,0.009,0.000,0.000,0.000,0.019,0.000,0,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.177,0.000,0.000,0.000,0.000,0.000
100102,1214,0.278,0.000,0.401,0.000,0.000,0.000,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.050,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.000,0.000,0.000,0.247,0.000,0.000,0.000,0.000,0.000
100200,1214,0.399,0.000,0.128,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.000,0.000,0.000,0.074,0.000,0,0.000,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.371,0.000,0.000,0.000,0.000,0.000
100206,1214,0.322,0.000,0.135,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.025,0.000,0.000,0.000,0.031,0.000,0,0.000,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.471,0.000,0.000,0.000,0.000,0.000
100207,1214,0.443,0.000,0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.072,0.000,0,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.396,0.000,0.000,0.000,0.000,0.000
100208,1214,0.399,0.000,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.000,0.000,0.000,0.184,0.000,0,0.000,0.022,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.029,0.000,0.000,0.000,0.000,0.000
100300,1214,0.725,0.000,0.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.021,0.000,0,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.087,0.000,0.000,0.000,0.000,0.000
100304,1214,0.640,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.029,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.032,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.168,0.000,0.000,0.000,0.000,0.000
100305,1214,0.769,0.000,0.152,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.015,0.000,0,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.045,0.000,0.000,0.000,0.000,0.000
110100,1214,0.241,0.000,0.060,0.000,0.000,0.000,0.246,0.000,0.002,0.000,0.003,0.000,0.005,0.000,0.000,0.000,0.028,0.000,0.000,0.000,0.252,0.000,0,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.014,0.000,0.039,0.000,0.011,0.000,0.0969999999999999,0.000,0.000,0.000,0.000,0.000
110101,1214,0.241,0.000,0.060,0.000,0.000,0.000,0.246,0.000,0.002,0.000,0.003,0.000,0.005,0.000,0.000,0.000,0.028,0.000,0.000,0.000,0.252,0.000,0,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.014,0.000,0.039,0.000,0.011,0.000,0.0969999999999999,0.000,0.000,0.000,0.000,0.000
110200,1214,0.304,0.000,0.074,0.000,0.000,0.000,0.179,0.000,0.000,0.000,0.010,0.000,0.011,0.000,0.000,0.000,0.028,0.000,0.000,0.000,0.160,0.000,0,0.000,0.011,0.000,0.000,0.000,0.000,0.000,0.031,0.000,0.090,0.000,0.014,0.000,0.088,0.000,0.000,0.000,0.000,0.000
110202,1214,0.304,0.000,0.074,0.000,0.000,0.000,0.179,0.000,0.000,0.000,0.010,0.000,0.011,0.000,0.000,0.000,0.028,0.000,0.000,0.000,0.160,0.000,0,0.000,0.011,0.000,0.000,0.000,0.000,0.000,0.031,0.000,0.090,0.000,0.014,0.000,0.088,0.000,0.000,0.000,0.000,0.000
110300,1214,0.228,0.000,0.071,0.000,0.000,0.000,0.249,0.000,0.000,0.000,0.002,0.000,0.009,0.000,0.000,0.000,0.033,0.000,0.000,0.000,0.329,0.000,0,0.000,0.009,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.030,0.000,0.005,0.000,0.033,0.000,0.000,0.000,0.000,0.000
110303,1214,0.228,0.000,0.071,0.000,0.000,0.000,0.249,0.000,0.000,0.000,0.002,0.000,0.009,0.000,0.000,0.000,0.033,0.000,0.000,0.000,0.329,0.000,0,0.000,0.009,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.030,0.000,0.005,0.000,0.033,0.000,0.000,0.000,0.000,0.000
120100,1214,0.764,0.000,0.048,0.000,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.000,0.000,0.000,0.001,0.000,0,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.165,0.000,0.000,0.000,0.000,0.000
120101,1214,0.192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.808,0.000,0.000,0.000,0.000,0.000
120102,1214,0.486,0.000,0.045,0.000,0.000,0.000,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.452,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000
120103,1214,0.379,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.613,0.000,0,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000
120104,1214,0.369,0.000,0.076,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.54,0.000,0.000,0.000,0.000,0.000
120106,1214,0.830,0.000,0.035,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.013,0.000,0.000,0.000,0.108,0.000,0,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000
120200,1214,0.438,0.000,0.111,0.000,0.000,0.000,0.043,0.000,0.001,0.000,0.052,0.000,0.037,0.000,0.000,0.000,0.023,0.000,0.000,0.000,0.041,0.000,0,0.000,0.012,0.000,0.000,0.000,0.000,0.000,0.009,0.000,0.017,0.000,0.041,0.000,0.175,0.000,0.000,0.000,0.000,0.000
120205,1214,0.536,0.000,0.159,0.000,0.000,0.000,0.061,0.000,0.000,0.000,0.052,0.000,0.031,0.000,0.000,0.000,0.021,0.000,0.000,0.000,0.016,0.000,0,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.009,0.000,0.029,0.000,0.000,0.000,0.0789999999999998,0.000,0.000,0.000,0.000,0.000
120207,1214,0.297,0.000,0.086,0.000,0.000,0.000,0.048,0.000,0.000,0.000,0.073,0.000,0.034,0.000,0.000,0.000,0.026,0.000,0.000,0.000,0.071,0.000,0,0.000,0.019,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.029,0.000,0.067,0.000,0.237,0.000,0.000,0.000,0.000,0.000
120208,1214,0.649,0.000,0.130,0.000,0.000,0.000,0.023,0.000,0.000,0.000,0.011,0.000,0.047,0.000,0.000,0.000,0.019,0.000,0.000,0.000,0.001,0.000,0,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.115,0.000,0.000,0.000,0.000,0.000
120300,1214,0.503,0.000,0.081,0.000,0.000,0.000,0.044,0.000,0.000,0.000,0.009,0.000,0.022,0.000,0.000,0.000,0.024,0.000,0.000,0.000,0.005,0.000,0,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.003,0.000,0.001,0.000,0.3,0.000,0.000,0.000,0.000,0.000
120309,1214,0.712,0.000,0.105,0.000,0.000,0.000,0.035,0.000,0.000,0.000,0.000,0.000,0.043,0.000,0.000,0.000,0.037,0.000,0.000,0.000,0.001,0.000,0,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.061,0.000,0.000,0.000,0.000,0.000
120310,1214,0.531,0.000,0.120,0.000,0.000,0.000,0.059,0.000,0.000,0.000,0.019,0.000,0.039,0.000,0.000,0.000,0.016,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.018,0.000,0.007,0.000,0.000,0.000,0.191,0.000,0.000,0.000,0.000,0.000
120311,1214,0.446,0.000,0.047,0.000,0.000,0.000,0.034,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.029,0.000,0.000,0.000,0.010,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.428,0.000,0.000,0.000,0.000,0.000
120400,1214,0.597,0.000,0.161,0.000,0.000,0.000,0.042,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.024,0.000,0.000,0.000,0.001,0.000,0,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.007,0.000,0.002,0.000,0.161,0.000,0.000,0.000,0.000,0.000
