"FID_surfzo","AREA","PERIMETER","LAND_SURF2","LAND_SUR_1","DESCRIP","TYPE","FID_state_","STATE"
"0","16138100000000.000000","106741000.000000","2","1","LAND","2","31","37"
"0","16138100000000.000000","106741000.000000","2","1","LAND","2","38","45"
"5523","990708000.000000","887532.000000","5525","5524","LAND","2","31","37"
"5528","6171020.000000","246955.000000","5530","5529","SURFZONE","3","31","37"
"5557","48870.200000","895.193000","5559","5558","LAND","2","31","37"
"5560","242197.000000","2321.420000","5562","5561","LAND","2","31","37"
"5561","67287.500000","1344.860000","5563","5562","LAND","2","31","37"
"5562","131941.000000","1413.780000","5564","5563","LAND","2","31","37"
"5563","29899.300000","783.901000","5565","5564","LAND","2","31","37"
"5564","45607.000000","1240.020000","5566","5565","LAND","2","31","37"
"5565","1575.070000","205.297000","5567","5566","LAND","2","31","37"
"5566","1059110.000000","8248.680000","5568","5567","LAND","2","31","37"
"5567","808331.000000","6925.840000","5569","5568","LAND","2","31","37"
"5568","100167.000000","1458.630000","5570","5569","LAND","2","31","37"
"5569","575398.000000","4895.180000","5571","5570","LAND","2","31","37"
"5570","63242.300000","1001.850000","5572","5571","LAND","2","31","37"
"5571","35775.000000","755.383000","5573","5572","LAND","2","31","37"
"5572","29192.800000","676.473000","5574","5573","LAND","2","31","37"
"5573","32660.400000","693.352000","5575","5574","LAND","2","31","37"
"5574","71885.500000","1013.990000","5576","5575","LAND","2","31","37"
"5575","1661370.000000","7908.660000","5577","5576","LAND","2","31","37"
"5576","102062.000000","1635.350000","5578","5577","LAND","2","31","37"
"5577","36200.300000","739.429000","5579","5578","LAND","2","31","37"
"5578","520987.000000","4788.140000","5580","5579","LAND","2","31","37"
"5579","146639.000000","2207.710000","5581","5580","LAND","2","31","37"
"5580","479172.000000","3311.380000","5582","5581","LAND","2","31","37"
"5581","89004.200000","1295.240000","5583","5582","LAND","2","31","37"
"5582","38277.400000","1182.340000","5584","5583","LAND","2","31","37"
"5583","97579.500000","1437.690000","5585","5584","LAND","2","31","37"
"5584","3660.630000","408.238000","5586","5585","LAND","2","31","37"
"5585","236956.000000","2103.490000","5587","5586","LAND","2","31","37"
"5586","190334.000000","1767.450000","5588","5587","LAND","2","31","37"
"5587","40814.500000","821.326000","5589","5588","LAND","2","31","37"
"5588","57624.300000","1019.270000","5590","5589","LAND","2","31","37"
"5589","785959.000000","3914.430000","5591","5590","LAND","2","31","37"
"5590","475413.000000","3146.040000","5592","5591","LAND","2","31","37"
"5591","239202.000000","2349.480000","5593","5592","LAND","2","31","37"
"5592","591432.000000","3583.990000","5594","5593","LAND","2","31","37"
"5593","121671.000000","1413.340000","5595","5594","LAND","2","31","37"
"5594","59288.200000","1136.100000","5596","5595","LAND","2","31","37"
"5595","11181500.000000","28930.300000","5597","5596","LAND","2","31","37"
"5596","31184.200000","721.582000","5598","5597","LAND","2","31","37"
"5597","46232.600000","914.724000","5599","5598","LAND","2","31","37"
"5598","50296.700000","1237.900000","5600","5599","LAND","2","31","37"
"5599","319167.000000","2633.640000","5601","5600","LAND","2","31","37"
"5600","67379.400000","1074.480000","5602","5601","LAND","2","31","37"
"5601","33038.800000","852.196000","5603","5602","LAND","2","31","37"
"5602","151597000.000000","117755.000000","5604","5603","LAND","2","31","37"
"5603","2968810.000000","12099.600000","5605","5604","LAND","2","31","37"
"5604","3342620.000000","12516.500000","5606","5605","LAND","2","31","37"
"5605","96871.300000","1236.330000","5607","5606","LAND","2","31","37"
"5606","108214.000000","1275.740000","5608","5607","LAND","2","31","37"
"5607","113305.000000","1317.820000","5609","5608","LAND","2","31","37"
"5608","1353300.000000","10080.100000","5610","5609","LAND","2","31","37"
"5609","149343.000000","1681.000000","5611","5610","LAND","2","31","37"
"5610","434413.000000","2894.020000","5612","5611","LAND","2","31","37"
"5611","117391.000000","1539.230000","5613","5612","LAND","2","31","37"
"5612","46661.200000","1018.770000","5614","5613","LAND","2","31","37"
"5613","135886.000000","2777.720000","5615","5614","LAND","2","31","37"
"5614","431873.000000","3345.610000","5616","5615","LAND","2","31","37"
"5615","62268.000000","1107.000000","5617","5616","LAND","2","31","37"
"5616","35245.800000","838.630000","5618","5617","LAND","2","31","37"
"5617","3157.540000","339.334000","5619","5618","LAND","2","31","37"
"5618","78160.200000","1319.800000","5620","5619","LAND","2","31","37"
"5619","37382.400000","1050.580000","5621","5620","LAND","2","31","37"
"5620","626671.000000","4313.770000","5622","5621","LAND","2","31","37"
"5621","27364.100000","730.514000","5623","5622","LAND","2","31","37"
"5622","369634.000000","3542.410000","5624","5623","LAND","2","31","37"
"5623","125428.000000","1692.750000","5625","5624","LAND","2","31","37"
"5624","40275.400000","949.535000","5626","5625","LAND","2","31","37"
"5625","273783.000000","3488.960000","5627","5626","LAND","2","31","37"
"5626","99689.800000","1387.860000","5628","5627","LAND","2","31","37"
"5627","61978.700000","1139.140000","5629","5628","LAND","2","31","37"
"5628","1050700.000000","5756.770000","5630","5629","LAND","2","31","37"
